Sentença	Id	Index	Granularidade	Documento
Mais uma vez, o Sr. Costner arrumou um filme por muito mais tempo do que o necessário.	1	0	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
Além das terríveis seqüências de resgate no mar, das quais há muito poucas, eu simplesmente não me importei com nenhum dos personagens.	1	1	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
A maioria de nós tem fantasmas no armário, e o personagem Costers é realizado logo no início, e depois esquecido até muito mais tarde, quando eu não me importava.	1	2	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante, Ashton Kutcher.	1	3	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado.	1	4	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
Seu único obstáculo parece estar vencendo Costner.	1	5	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
Finalmente, quando estamos bem além do meio do caminho, Costner nos conta sobre os fantasmas dos Kutchers.	1	6	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores.	1	7	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
Nenhuma mágica aqui, era tudo que eu podia fazer para não desligar uma hora.	1	8	0	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
0	1	-1	1	Mais uma vez , o Sr. Costner arrumou um filme por muito mais tempo do que o necessário . Além das terríveis seqüências de resgate no mar , das quais há muito poucas , eu simplesmente não me importei com nenhum dos personagens . A maioria de nós tem fantasmas no armário , e o personagem Costers é realizado logo no início , e depois esquecido até muito mais tarde , quando eu não me importava . O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante , Ashton Kutcher . O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado . Seu único obstáculo parece estar vencendo Costner . Finalmente , quando estamos bem além do meio do caminho , Costner nos conta sobre os fantasmas dos Kutchers . Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores . Nenhuma mágica aqui , era tudo que eu podia fazer para não desligar uma hora .
